physics_score,chemistry_score,maths_score,total_score,attempted_questions,correct_questions,wrong_questions,unattempted_questions,negative_marks,accuracy_percent,total_time_seconds,avg_time_per_question_sec,time_physics_sec,time_chemistry_sec,time_maths_sec,easy_accuracy_percent,medium_accuracy_percent,hard_accuracy_percent,attempt_consistency_score,guessing_tendency_score,speed_variation_score,approx_percentile,approx_rank
45,50,50,145,75,44,31,15,31,58.666666666666664,10800.0,144.0,3446.696823086513,3674.571127018202,3678.732049895285,73.33333333333333,58.82352941176471,18.181818181818183,97.85152567769656,41.333333333333336,11.600828202983926,63.13642607563637,582444
40,0,15,55,75,24,51,15,51,32.0,10800.0,144.0,3228.2021592123656,3374.2804421903165,4197.517398597318,43.333333333333336,32.35294117647059,0.0,91.02485889458379,68.0,16.7329506866731,43.81377455586746,887742
0,65,0,65,75,23,52,15,52,30.666666666666664,10800.0,144.0,3282.410414814591,3645.1362785869933,3872.453306598416,40.0,26.47058823529412,18.181818181818183,94.53663989089051,69.33333333333334,16.328132178771217,47.69495243164603,826419
65,25,15,105,75,36,39,15,39,48.0,10800.0,144.0,3326.255893689509,3231.6879581428034,4242.056148167687,46.666666666666664,52.94117647058824,36.36363636363637,90.64473898125107,52.0,18.298335630601013,56.33917539736193,689841
55,0,70,125,75,36,39,15,39,48.0,10800.0,144.0,3340.1948166726697,3695.042126774827,3764.7630565525033,53.333333333333336,44.11764705882353,45.45454545454545,96.06881259370525,52.0,11.951773952347944,58.43602610684951,656710
25,50,25,100,75,35,40,15,40,46.666666666666664,10800.0,144.0,3231.5068361357394,3266.535625204296,4301.9575386599645,60.0,47.05882352941176,9.090909090909092,90.08841942107199,53.333333333333336,21.003236324199992,52.094989220118805,756899
20,0,70,90,75,32,43,15,43,42.66666666666667,10800.0,144.0,3639.880528178646,3655.637869261911,3504.4816025594428,53.333333333333336,38.23529411764706,27.27272727272727,98.60040493794011,57.333333333333336,11.792517101889924,51.00712795005843,774087
70,70,95,235,75,62,13,15,13,82.66666666666667,10800.0,144.0,3447.205824317067,3271.7774601348046,4081.0167155481286,86.66666666666667,88.23529411764706,54.54545454545454,92.50704393135811,17.333333333333336,18.423013338509982,84.13060338308198,250736
0,0,0,0,75,10,65,15,65,13.333333333333334,10800.0,144.0,3491.609727233611,3462.424937285218,3845.9653354811708,20.0,5.88235294117647,18.181818181818183,96.44870001670414,86.66666666666667,12.394504233806982,29.747265457770656,1109993
60,85,30,175,75,50,25,15,25,66.66666666666666,10800.0,144.0,3497.7592130327143,3347.617780240372,3954.623006726914,66.66666666666666,76.47058823529412,36.36363636363637,94.37958123623572,33.33333333333333,15.280429987830646,71.39091630715347,452023
65,55,10,130,75,41,34,15,34,54.666666666666664,10800.0,144.0,3465.576987390219,3209.0754778189626,4125.347534790819,53.333333333333336,58.82352941176471,45.45454545454545,91.51599947248282,45.33333333333333,21.429258030983373,62.23031932606905,596760
0,55,70,125,75,40,35,15,35,53.333333333333336,10800.0,144.0,3483.670719750674,3422.531450847738,3893.797829401588,66.66666666666666,47.05882352941176,36.36363636363637,95.63642242079769,46.666666666666664,11.62224259263953,58.50883080778246,655560
35,75,85,195,75,54,21,15,21,72.0,10800.0,144.0,3235.8725110205296,3324.4635761394734,4239.663912839997,66.66666666666666,73.52941176470588,81.81818181818183,90.70563516833828,28.000000000000004,18.578221943923282,75.20967169374285,391687
15,60,30,105,75,36,39,15,39,48.0,10800.0,144.0,3337.948306478103,3277.1740479049013,4184.877645616995,53.333333333333336,44.11764705882353,45.45454545454545,91.59533705822136,52.0,19.415591008038213,54.936616442680226,712001
50,30,85,165,75,48,27,15,27,64.0,10800.0,144.0,3571.806542050993,3242.4676891749564,3985.7257687740507,73.33333333333333,64.70588235294117,36.36363636363637,93.11798074445284,36.0,18.239481888115932,69.99174239083138,474130
